Date,Filename,Title,Download Url,Threat Actor,Victim Country,Zero-Day,Attack Vector,Malware,Target Sector
2014-08-18,The Syrian Malware House of Cards - Securelist,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.08.18.Syrian_Malware_House_of_Cards/The%20Syrian%20Malware%20House%20of%20Cards%20-%20Securelist.pdf,Not mentioned,"Turkey, Saudi Arabia, Lebanon, Palestine, United Arab Emirates, Israel, Morocco, France, United States.",Not mentioned,"Social Engineering, Watering Hole, SpearPhishing.","Remote Administration Trojan Tools (RATs), Trojan.MSIL.Zapchast, Backdoor.Win32.Bifrose, Backdoor.Win32.Fynloski, Backdoor.Win32.Xtreme.",Individuals
2014-08-28,Alienvault_Scanbox,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.08.28.Scanbox_Framework_Watering_Hole_Attack/Alienvault_Scanbox.pdf,Not mentioned,Not mentioned,Not mentioned,"Watering Hole, Website Equipping","Scanbox, Metasploit","Corporations and Businesses, Manufacturing"
2014-08-29,Syrian_Malware_Team_BlackWorm,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.08.29.BlackWorm_Syrian/Syrian_Malware_Team_BlackWorm.pdf,Syrian Malware Team,USA,Not mentioned,"Social Engineering, Removable Media","BlackWorm, Dark Edition, njRAT/LV, H-worm/Houdini, Fallaga, Spygate.",Individuals.
2014-09-04,Chinese_MITM_Google,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.09.04.Analysis_of_Chinese_MITM_on_Google/Chinese_MITM_Google.pdf,Not mentioned,China,Not mentioned,Not mentioned,Not mentioned,"Education and research institutions, Individuals"
2014-09-04,Gholee_Protective_Edge_themed_spear_phishing_campaign,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.09.04.Gholee/Gholee_Protective_Edge_themed_spear_phishing_campaign.pdf,Not mentioned,Israel,Not mentioned,"SpearPhishing, Malicious Documents, Social Engineering","Gholee, Core Impact, Trojan-Dropper.MSExcel.Agent.ce",Individuals
2014-09-17,armed-services.senate.gov-Press Release  Press  United States Commitee on Armed Services,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.09.17.Chinese_APT_defense_contractors/armed-services.senate.gov-Press%20Release%20%20Press%20%20United%20States%20Commitee%20on%20Armed%20Services.pdf,Not mentioned,U.S.,Not mentioned,Not mentioned,Not mentioned,Critical infrastructure
2014-10-14,Group_72,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.10.14.Group_72/Group_72.pdf,Group 72,"United States, Japan, Taiwan, and Korea.",Not mentioned,"SpearPhishing, Watering Hole, Exploit Vulnerability","Gh0st RAT (Moudoor), Poison Ivy (Darkmoon), HydraQ (9002 RAT, McRAT, Naid), Hikit (Matrix RAT, Gaolmay), Zxshell (Sensode), DeputyDog (Fexel), Derusbi, PlugX (Destroy RAT, Thoper, Sogu).","Manufacturing, Government and defense agencies, Media and entertainment companies."
2014-10-20,OrcaRAT,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.10.20.OrcaRAT_tale/OrcaRAT.pdf,Comment Crew,Not mentioned,Not mentioned,Not mentioned,"OrcaRAT, Comfoo",Education and research institutions
2014-10-22,tactical-intelligence-bulletin---sofacy-phishing-,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.10.22.Sofacy_Phishing/tactical-intelligence-bulletin---sofacy-phishing-.pdf,Sofacy,"United States, Ukraine, Poland, Iran.",Not mentioned,"SpearPhishing, Phishing, Watering Hole, Malicious Documents",Sofacy is the named malware family.,"Government and defense agencies, Cloud/IoT services, Energy and utilities, Media and entertainment companies, Financial institutions."
2014-10-27,ICS_Havex_backdoors,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.10.27.Havex_Trojans/ICS_Havex_backdoors.pdf,Dragonfly,"Switzerland, Belgium, and Germany, primarily in Europe.",Not mentioned,Website Equipping (eWON / Talk2M eCatcher),"Sysmain RAT, Havex RAT (also Havex 038, Havex 044).","Energy and utilities, Manufacturing, Critical infrastructure."
2014-11-10,darkhotelappendixindicators_kl_1.1,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.11.10.Darkhotel/darkhotelappendixindicators_kl_1.1.pdf,Not mentioned,"United States, Russia, China, Japan, Middle Eastern countries, India.",TRUE,SpearPhishing,"Darkhotel component, Virus.Win32.Pioneer.dx, igfxext.exe, Trojan-Downloader.Win32.Agent.xwge, SMAGENT.EXE, msieckc.exe.",Not mentioned
2014-11-14,roaming_tiger_zeronights_2014,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.11.14.Roaming_Tiger/roaming_tiger_zeronights_2014.pdf,Roaming tiger group,"Russia, Belarus, Kazakhstan, Kyrgyzstan, Tajikistan, Ukraine, and Uzbekistan.",FALSE,Exploit Vulnerability,"Win32/Korplug (PlugX RAT), Win32/Farfli.BEK (Gh0st RAT)",Not mentioned
2014-11-24,DEEP_PANDA_Sakula,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.11.24.Ironman/DEEP_PANDA_Sakula.pdf,DEEP PANDA,"U.S., Mongolia",Not mentioned,Watering Hole,"Sakula, Derusbi, Scanbox (Strategic Web Compromise framework)","Government and defense agencies, Corporations and Businesses, Financial institutions, Healthcare, Education and research institutions, Non-Governmental Organizations (NGOs) and Nonprofits."
2014-11-24,Regin_The_Intercept,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.11.24.Regin_TheIntercept/Regin_The_Intercept.pdf,Not mentioned,"Russia, Saudi Arabia, Mexico, Ireland, Belgium, Iran, European Union",Not mentioned,Not mentioned,"Regin, svcsstat.exe, GetThis, ProcMon (Process Monitor), Regin/Prax.","Corporations and Businesses, Government and defense agencies, Education and research institutions, Critical infrastructure."
2014-12-08,Turla_2_Penquin,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.12.08.Penquin_Turla/Turla_2_Penquin.pdf,Turla,Not mentioned.,Not mentioned,Not mentioned,"Turla framework, cd00r, Snake rootkit, Epic Turla, Agent.btz, openssl v0.9.6, libpcap, glibc2.3.2, HEUR:Backdoor.Linux.Turla.gen.",Not mentioned
2014-12-09,bcs_wp_InceptionReport_EN_v12914,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.12.09_The_Inception_Framework/bcs_wp_InceptionReport_EN_v12914.pdf,Not mentioned,"Russia, Romania, Venezuela, Mozambique",TRUE,"SpearPhishing, Malicious Documents, Exploit Vulnerability",BrowserUpdate.apk,"Government and defense agencies, Corporations and Businesses, Financial institutions, Energy and utilities."
2014-12-10,w32_regin_stage_1,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.12.10.W32_Regin/w32_regin_stage_1.pdf,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"Regin, W32/Regin Stage #1",Not mentioned
2014-12-17,Wiper_Malware,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.12.17.Wiper_Malware_Deep_Dive/Wiper_Malware.pdf,Not mentioned,Not mentioned.,Not mentioned,Drive-by Download,Not mentioned,Not mentioned
2014-12-22,Anunak_APT_against_financial_institutions,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2014/2014.12.22.Anunak_APT/Anunak_APT_against_financial_institutions.pdf,Not mentioned,"Russia, Ukraine, Latvia, USA, Australia, Spain, Italy.",FALSE,"Drive-by Download, Exploit Vulnerability, SpearPhishing, Malicious Documents, Website Equipping.","Metasploit, Meterpreter, BITS, PowerShell, Anunak, Mimikatz, MBr Eraser, softPerfect Network scanner, cain & abel, ssHD backdoor, ammy admin, Team Viewer, Carberp, Gozi/ISFB.","Financial institutions, Corporations and Businesses, Media and entertainment companies, Government and defense agencies."
2015-01-20,Inception_APT_Analysis_Bluecoat,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.01.20.Reversing_the_Inception_APT_malware/Inception_APT_Analysis_Bluecoat.pdf,Not mentioned,Not mentioned,FALSE,Malicious Documents,"Inception-framework, regsvr32, wmiprvse.dll, ew_Rg.vbs",Not mentioned
2015-01-20,Project_Cobra_Analysis,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.01.20.Project_Cobra/Project_Cobra_Analysis.pdf,Turla,Not mentioned,Not mentioned,Not mentioned,"Backdoor.TurlaCarbon.A, Win32.Trojan.Cobra.B, Carbon System, Cobra project, Uroburos, Agent.BTZ, Tavdig, Wipbot, Epic Backdoor, CAST-128.",Corporations and Businesses
2015-01-22,Regin_Hopscotch_Legspin,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.01.22.Regin_Hopscotch_and_Legspin/Regin_Hopscotch_Legspin.pdf,Not mentioned,Not mentioned,Not mentioned.,Not mentioned,"Regin, Hopscotch, Legspin, Willischeck, U_STARBUCKS, SVCSTAT.EXE",Not mentioned
2015-02-16,blog_equation-the-death-star,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.02.16.equation-the-death-star/blog_equation-the-death-star.pdf,Equation group,"US (defense contractors, military), and possibly Iran.",TRUE,Exploit Vulnerability,"EQUATIONLASER, EQUATIONDRUG, DOUBLEFANTASY, TRIPLEFANTASY, FANNY, GRAYFISH, SKYHOOKCHOW, UR, KS, SF, STEALTHFIGHTER, DRINKPARSLEY, STRAITACID, LUTEUSOBSTOS, STRAITSHOOTER, DESERTWINTER, GROK, nls_933w.dll, DoubleFantasy installer + LNK exploit package, GROK keylogger.","Government and defense agencies, Corporations and Businesses, Financial institutions"
2015-02-18,Elephantosis,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.02.18.Shooting_Elephants/Elephantosis.pdf,French intelligence,Not mentioned,Not mentioned,Not mentioned,"Babar64, Babar, Bunny, NBOT, TFC","Energy and utilities, Corporations and Businesses"
2015-02-24,cto-tib-20150223-01a,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.02.24.Deeper_Scanbox/cto-tib-20150223-01a.pdf,TH3Bug 7,"CN, US, KR, JP, GB, VN, MN, MM, AU",TRUE,"Watering Hole, Phishing, Drive-by Download","ScanBox framework, EvilGrab, Vidgrab, Flash 0-day","Government and defense agencies, Corporations and Businesses, Manufacturing, Education and research institutions, Media and entertainment companies, Non-Governmental Organizations (NGOs) and Nonprofits, Individuals."
2015-02-27,the-anthem-hack-all-roads-lead-to-china,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.02.27.The_Anthem_Hack_All_Roads_Lead_to_China/the-anthem-hack-all-roads-lead-to-china.pdf,China's Unit 78020,"What was the objective of the attack? Was it cyber theft, an espionage operation, or something different?
Cyber espionage, blackmail, asset recruitment, or technical targeting operations.

Who was targeted in the attack?
Mongolia and individuals at home.

What was the timeline of the activity?
Incident 20130823C; domains shared September 16th, 2013; identified in October 2014 PwC blog post; FBI Flash report roughly a year and a half after September 2013.",Not mentioned,Social Engineering,"Derusbi, Sakula (aka Sakurel), Scanbox framework, InfoAdmin, Kakfum.","Government and defense agencies, Corporations and Businesses, Healthcare."
2015-02-27,Anthem_hack_all_roads_lead_to_China,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.02.27.The_Anthem_Hack_All_Roads_Lead_to_China/Anthem_hack_all_roads_lead_to_China.pdf,Deep Panda,US,Not mentioned,Not mentioned,"Derusbi (InfoAdmin/Kakfum subvariant), Sakula (Sakurel), Scanbox framework, HttpBrowser/HttpDump implant (OpenOfficePlugin.exe).","Education and research institutions, Government and defense agencies, Corporations and Businesses, Healthcare, Individuals."
2015-03-05,casper-malware-babar-bunny-another-espionage-cartoon,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.03.05.Casper_Malware/casper-malware-babar-bunny-another-espionage-cartoon.pdf,Not mentioned,Syria,TRUE,"Watering Hole, Exploit Vulnerability","Casper, Babar, Bunny, Win32/ProxyBot.B, Win32/ProxyBot.A.",Individuals.
2015-03-06,Animals in the APT Farm,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.03.06.Animals_APT_Farm/Animals%20in%20the%20APT%20Farm.pdf,Animal Farm,"Syria, Iran, Malaysia, USA, China, Turkey, Netherlands, Germany, Great Britain, Russia, Sweden, Austria, Algeria, Israel, Iraq, Morocco, New Zealand, Ukraine.",TRUE,"Watering Hole, Exploit Vulnerability, Malicious Documents.","Dino, Babar, NBot, Tafacalou, Casper, Bunny, Transporter, TFC.","Government and defense agencies, Corporations and Businesses, Media and entertainment companies, Non-Governmental Organizations (NGOs) and Nonprofits, Individuals."
2015-03-31,volatile-cedar-technical-report,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.03.31.Volatile_Cedar/volatile-cedar-technical-report.pdf,Not mentioned,Israel and Lebanon.,Not mentioned,Exploit Vulnerability,"Explosive (malware), Caterpillar web shell, AspxSpy web shell (variant), KIDO web shell.",Government and defense agencies.
2015-04-15,Indicators_of_Compormise_Hellsing,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.04.15.Hellsing_APT/Indicators_of_Compormise_Hellsing.pdf,Hellsing,Philippines,Not mentioned.,Not mentioned,"Hellsing, xweber, msger, xKat, proxy testing tool.",Not mentioned
2015-04-21,The CozyDuke APT - Securelist,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.04.21.CozyDuke_APT/The%20CozyDuke%20APT%20-%20Securelist.pdf,"CozyDuke (aka CozyBear, CozyCar or ""Office Monkeys"")",United States.,Not mentioned,"SpearPhishing: Emails containing links to hacked websites, emails with phony flash video attachments.
Malicious Documents: ZIP archives containing RAR SFX and PDF decoys, ZIP archives with executable flash videos.
Website Equipping: Hacked websites hosting malicious ZIP archives.
Social Engineering: Phony flash videos designed to be passed around offices.","MiniDuke, CosmicDuke, OnionDuke, ChromeUpdate.ex_, cmd_task.dll, screenshot_task.dll, atiumdag.dll, cache.dll, update.dll.",Government and defense agencies
2015-04-22,CozyDuke,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.04.22.CozyDuke/CozyDuke.pdf,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"CozyDuke, MiniDuke, OnionDuke, Mimikatz, PSExec, Pugi-XML library, Microsoft OneDrive, rundll32.exe.",Government and defense agencies
2015-04-27,Attacks against Israeli & Palestinian interests - Cyber security updates,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.04.27.Attacks_Israeli_Palestinian/Attacks%20against%20Israeli%20%26%20Palestinian%20interests%20-%20Cyber%20security%20updates.pdf,,Israel and Palestine.,Not mentioned.,"SpearPhishing, Malicious Documents, Website Equipping.","DownExecute, Xtreme RAT, Poison Ivy","Media and entertainment companies, Individuals, Government and defense agencies."
2015-05-05,1506306551185339,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.05.05.Targeted_attack_on_France_TV5Monde/1506306551185339.pdf,Cyber Caliphate,France,Not mentioned,Not mentioned,"Njrat, Njworm, Source Code Generator 1, Source Code Generator 2, VBS (Visual Basic Script) malware.",Media and entertainment companies
2015-05-13,Cylance SPEAR Team_ A Threat Actor Resurfaces,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.05.13.Spear_Threat/Cylance%20SPEAR%20Team_%20A%20Threat%20Actor%20Resurfaces.pdf,Not mentioned,"U.S. government agencies, defense contractors, aerospace firms, and foreign militaries.",FALSE,"Malicious Documents, Exploit Vulnerability",Certificates.ocx,"Government and defense agencies, Corporations and Businesses"
2015-05-18,CmstarDownloader_Lurid_Enfal_Cousin,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.05.18.Cmstar/CmstarDownloader_Lurid_Enfal_Cousin.pdf,Not mentioned,Not mentioned,Not mentioned,"SpearPhishing, Malicious Documents, Exploit Vulnerability","Cmstar, Lurid, Enfal, MNKit, Tran Duy Linh toolkit, Cmwhite.",Government and defense agencies.
2015-05-21,TheNaikonAPT-MsnMM2,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.05.21.Naikon_APT/TheNaikonAPT-MsnMM2.pdf,"Naikon APT, Cycldek APT, Hardcore Charlie.",Philippines and Malaysia.,Not mentioned,"SpearPhishing, Exploit Vulnerability, Malicious Documents","CUSTOM HDOOR, HackTool.Win32.Agent.whj, hd.exe, Winrar, Honker Union codebase.",Government and defense agencies
2015-05-26,Dissecting-LinuxMoose,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2015/2015.05.26.LinuxMoose/Dissecting-LinuxMoose.pdf,Not mentioned,Not mentioned,FALSE,Credential Reuse,"Linux/Moose, elan2","Corporations and Businesses, Cloud/IoT services, Media and entertainment companies."
